Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
Daniel Gafford,DAL,25,74,30,44,24.5,116,5,18.6,29.3,0.9,22.8,2.1,57.7,7.8,8.7,7.8,27.2,0.055
Otto Porter Jr.,TOR,31,15,6,9,11.6,107.5,1.5,13,18.4,0.3,14.3,0.3,25,3.9,3.2,3.3,10.9,0.055
Jason Preston,UTA,24,7,2,5,10.2,105.3,1.6,13.3,20,0.3,18.2,0.1,10,2.4,3.3,1.6,12.6,0.054
Patty Mills,MIA,35,32,15,17,13,109.5,0.8,6.6,9.2,0.6,26.7,0,3.8,4.2,3.2,3.2,13.2,0.054
Dereck Lively II,DAL,20,55,35,20,23.5,115.6,4.4,17.9,26.5,0.7,20.5,1.4,51.7,7.1,6.4,8.3,24.8,0.054
Bismack Biyombo,OKC,31,40,20,20,19.8,114.1,3.7,17.9,26.2,0.3,11,0.9,35.9,7.6,5.6,6,19.2,0.054
Bobby Portis,MIL,29,82,49,33,24.5,116,5.7,22.8,34,0.8,23.1,0.4,17.9,6.9,7,6.5,26.6,0.053
Mitchell Robinson,NYK,26,31,19,12,24.8,116.2,3.9,17.3,24.8,1.2,29.6,1.1,68.6,8.2,5.8,8.1,24.8,0.053
Jeff Green,HOU,37,78,39,39,16.8,112.7,1.7,9.9,15,0.2,7.8,0.4,21.8,5.2,4.8,4.2,17.7,0.053
Shake Milton,NYK,27,48,32,16,12.1,109.4,1.3,10.2,14.5,0.4,20.9,0.1,8.2,4.3,3.6,3.9,12.3,0.053
David Roddy,PHX,23,65,25,40,18.1,113.6,2.4,13.4,20.5,0.4,15.8,0.2,7.6,6.7,5.7,5,19,0.053
Neemias Queta,BOS,24,28,24,4,11.9,108.3,2.5,19.5,28.4,0.5,24.5,0.8,51.2,2.6,3,3.5,10.1,0.053
Walker Kessler,UTA,22,64,26,38,23.3,116,4.9,19.9,29.8,0.5,15.5,2.4,72,10,7.3,9.2,23.5,0.052
Bones Hyland,LAC,23,37,20,17,14.6,111.5,1.4,8.8,13.8,0.7,31,0.1,7.7,5.7,4.4,5.4,15.2,0.052
Cody Martin,CHA,28,28,7,21,26.9,117,3.2,12.4,17.9,1.1,29.9,0.6,25.4,8.6,7.3,7.2,28.6,0.051
Daniel Theis,LAC,32,60,38,22,16.9,113.2,2.7,15,23.8,0.4,12.7,0.9,39.2,5.3,5.4,5.6,18.3,0.051
Cameron Payne,PHI,29,78,46,32,16.7,113.2,1.2,7.3,11.1,0.5,21.1,0.1,7.6,4.9,4.9,4.7,17.5,0.051
Andre Drummond,CHI,30,79,37,42,17.1,113.3,5.6,33.1,49,0.9,32.9,0.6,31.6,5.6,4.8,4.5,15.3,0.051
Robert Williams III,POR,26,6,2,4,19.8,114.9,4.5,22.7,34.6,1.2,31.8,1.2,46.7,7.5,4.3,8.2,20.7,0.051
Trayce Jackson-Davis,GSW,24,68,39,29,16.6,113,3,17.2,25.7,0.4,17,1.1,55.1,5.9,5.2,4.6,17.5,0.051
Drew Eubanks,PHX,27,75,42,33,15.6,112.3,2.9,17.6,27.9,0.4,15.9,0.8,37,5.9,5.1,5.1,15.2,0.051
Davion Mitchell,SAC,25,72,41,31,15.3,112.1,1.1,7.1,10.2,0.2,10,0,3.7,5.4,3.7,3.6,14.9,0.051
Mamadi Diakite,NYK,27,6,5,1,4.1,82.7,0.5,11.1,14.3,0.2,33.3,0.2,33.3,1.2,1.2,1,2.7,0.05
Jericho Sims,NYK,25,45,30,15,13,109.7,2,15.3,23.5,0.2,10.5,0.4,41.3,4.3,3.7,3,12.4,0.05
Dalano Banton,POR,24,54,24,30,19.4,114.7,2.5,13,19.7,0.6,21.4,0.4,20.2,7.8,5.6,6.8,19.9,0.05
Saben Lee,PHX,25,24,15,9,7.7,101.5,0.9,10.3,16.5,0.3,29.2,0.1,9.1,3.4,2.2,2.3,7.3,0.05
Jaden Ivey,DET,22,77,14,63,28.8,117.7,2.3,8.1,11.4,0.7,20.6,0.5,19,11.8,8.2,8.5,33,0.05
Jared Butler,WAS,23,40,6,34,14.1,111.4,1.2,8.3,12.8,0.7,31.2,0.2,16,5.3,4,3.1,13.5,0.05
Trae Young,ATL,25,54,22,32,36,119.1,2.3,6.5,9.9,1.3,23.3,0.2,5.8,12.2,11.6,13.6,43.3,0.049
Vasilije Mici?,CHA,30,60,34,26,19.6,114.8,1.2,6.3,9.8,0.5,17.3,0.1,6.3,7.2,6.5,5.5,20.4,0.049
Pat Connaughton,MIL,31,76,45,31,22.1,115.9,2.5,11.2,16.4,0.5,16.2,0.3,12.3,6.6,6.2,6.2,23.6,0.049
Justin Minaya,POR,25,34,3,31,11.2,108.4,0.8,7.2,10.6,0.3,17.6,0.3,37,4.4,3.3,3.4,10.2,0.049
Taj Gibson,DET,39,20,8,12,10.2,107.1,1.3,12.5,16.8,0.2,10,0.4,43.8,2.4,1.9,2.9,8.5,0.049
Marvin Bagley III,WAS,25,50,7,43,21.1,115.5,3.6,17.5,25.3,0.4,13.6,0.7,36.3,7.6,5.9,6.3,24.9,0.049
Hamidou Diallo,WAS,25,2,1,1,2.4,50,0,0,0,1,100,0,0,0,0,0,1,0.049
Mo Bamba,PHI,26,57,30,27,13,110.5,2.8,21.8,33.3,0.4,17.1,1.1,58.3,3.7,3.3,4.7,12.1,0.049
Caleb Houstan,ORL,21,59,31,28,13.8,111.2,0.9,6.7,10.1,0.3,14.3,0.1,4.7,4.8,3.8,4.3,13.9,0.049
De'Andre Hunter,ATL,26,57,26,31,29.5,117.9,3.4,11.6,17.5,0.7,14.9,0.3,10,10.2,8.5,9.9,32.6,0.049
Jabari Walker,POR,21,72,18,54,23.6,116.5,5,22.2,34.9,0.6,16.2,0.3,14.1,9.4,7.1,8.6,26.6,0.048
KJ Martin,PHI,23,60,33,27,12.4,110.5,1.5,12,19.4,0.4,14.9,0.2,13.6,4.2,4.3,3.3,13.6,0.048
Dru Smith,MIA,26,9,7,2,14.5,112.5,0.9,5.8,9.9,1,34.6,0.3,23.1,4.9,5.4,4,13.3,0.048
Patrick Baldwin Jr.,WAS,21,38,6,32,13,111,2.8,20.1,29.9,0.5,19.8,0.4,26.8,4.8,3.4,4.3,13.3,0.048
Quenton Jackson,IND,25,3,3,0,3.5,79.2,1.3,30.8,44.4,0.3,50,0,0,1.3,0,1.7,3.3,0.048
Jordan Hawkins,NOP,22,67,38,29,17.3,114.3,1.8,10,15.5,0.3,10.1,0.1,7.3,5.9,5.1,5.4,17.2,0.047
David Duke Jr.,SAS,24,4,3,1,12.8,110.9,2,14,20.5,0.5,33.3,0,0,4,3.5,2.8,10.5,0.047
Blake Wesley,SAS,21,61,19,42,14.4,112.4,1.2,8.4,12.5,0.5,22,0.1,9.2,5,4.3,4.3,15.8,0.047
JT Thor,CHA,21,63,16,47,12.4,110.7,1.6,13.2,19.3,0.2,10.7,0.4,36.5,4.2,3.4,3.3,12.8,0.047
Zach Collins,SAS,26,69,19,50,22.1,116.3,3.7,16.2,23.5,0.5,17.6,0.8,36.4,9.1,6.2,6.8,25,0.047
Bol Bol,PHX,24,43,28,15,10.9,108.8,2.4,20.2,29.4,0.2,16.7,0.6,35.7,4.1,3,3.9,9.7,0.047
Jalen Wilson,BKN,23,43,14,29,15.5,113,2,12.8,19.5,0.3,13.6,0.1,6.1,5.2,4.2,5.1,15.3,0.046
Ousmane Dieng,OKC,21,33,21,12,11.1,109,1.2,10.5,16.2,0.2,15.4,0.2,11.6,4.2,3,3.4,11.2,0.046
Buddy Boeheim,DET,24,10,0,10,8.4,104,0.7,7.3,11.1,0,0,0.1,12.5,2.2,2.7,3.2,8.8,0.046
Leaky Black,CHA,25,26,2,24,10.9,109.2,1.5,13.2,19.5,0.3,22.2,0.4,28.2,3.7,3.3,3.2,11.7,0.046
Rayan Rupert,POR,20,39,7,32,16.2,114,1.7,11.5,17,0.3,12,0.1,7,6.4,4.4,5.4,16.3,0.045
P.J. Tucker,LAC,39,31,13,18,15.7,113.7,1.8,11.6,17.1,0.5,20,0.2,13.5,5.6,4.1,6.7,16.5,0.045
Isaiah Jackson,IND,22,60,37,23,12.8,111.7,2.4,18.7,30.5,0.6,23.6,1,55.5,4.7,4.5,3.6,15,0.045
Lester Quinones,GSW,23,37,24,13,10.7,109,1.4,12.6,17.3,0.2,12,0.1,4,3.7,2.3,3.6,11.6,0.045
T.J. McConnell,IND,32,71,40,31,18.2,115.2,2.2,12.5,19.4,1,32,0.1,5.7,6.1,5.7,5,22,0.045
Kevon Looney,GSW,28,74,43,31,16.1,114,3.7,22.2,32.1,0.4,18.7,0.4,30.9,6.1,4.1,5.3,16,0.044
Jamal Cain,MIA,25,26,14,12,10,108.8,0.8,8.7,13.2,0.4,25,0.2,33.3,4,2.7,2.8,10.3,0.044
Chuma Okeke,ORL,25,47,24,23,9.2,106.8,1.3,14.5,20.8,0.2,15,0.1,15.6,3.8,2,2.8,9.5,0.044
Gary Trent Jr.,TOR,25,71,24,47,28.1,118.2,2.3,8.3,12.8,1.1,24.3,0.1,5.3,9.6,9.4,8.3,32.7,0.044
Marcus Sasser,DET,23,71,11,60,19,115.7,1.6,8.5,12.8,0.6,23.5,0.2,10.3,7.9,5.6,6.1,21.4,0.044
Mason Jones,SAC,25,5,3,2,5.5,96.6,0.8,14.3,21.1,0.2,12.5,0,0,3,1,1.2,3.6,0.044
Thomas Bryant,MIA,26,38,22,16,11.6,110.7,2.7,23.3,33.2,0.3,15.4,0.4,41,4.1,3,3.2,12.6,0.044
Obi Toppin,IND,26,82,47,35,21.1,116.6,2.9,13.7,21.2,0.6,16.5,0.5,19.7,7.1,6.3,6.6,27,0.044
Dalen Terry,CHI,21,59,27,32,11.5,110.7,1.4,12.4,17.6,0.5,22.3,0.3,25.4,3.7,3,3.1,9.8,0.043
Bennedict Mathurin,IND,22,59,33,26,26.1,117.9,2.9,11.3,17.8,0.6,13.9,0.2,8.4,9.9,9,7.7,33.4,0.043
Saddiq Bey,ATL,25,63,28,35,32.7,119.1,3.9,11.9,17.9,0.8,17.3,0.2,5.7,11.1,9.7,10.9,38.1,0.043
Marcus Morris Sr.,CLE,34,49,26,23,16.7,114.6,2.3,13.9,21.3,0.3,12,0.3,16.9,5.3,4.7,5.8,17,0.043
R.J. Hampton,MIA,23,8,3,5,9.5,107.8,0.5,4.5,6.5,0,0,0,0,4.3,2.5,3.6,9.8,0.043
Aleksej Pokusevski,CHA,22,28,14,14,14.5,113.2,2.6,17.3,26.8,0.5,25.9,0.5,40.6,5,4.2,4,14.9,0.043
Trendon Watford,BKN,23,63,25,38,13.6,112.8,2.3,16.2,23.8,0.4,20,0.3,23.8,5.2,3.9,4.9,12.5,0.043
Brandon Miller,CHA,21,74,18,56,32.2,119.1,3.4,11.2,16.6,0.9,19.3,0.6,18.9,11.5,9.5,8.8,36.6,0.043
Jules Bernard,WAS,24,19,2,17,7.9,104.9,0.8,10.6,17,0.2,13.6,0.1,5.3,3.2,2.8,2.4,8.3,0.043
Killian Hayes,DET,22,42,7,35,24,117.6,2.6,10.7,15.8,0.9,28.8,0.5,18.9,9.8,7.2,6.8,28.3,0.043
Dejounte Murray,ATL,27,78,34,44,35.7,119.5,4.5,13,19.1,1.4,26.2,0.3,9.4,12.6,10.4,12.5,40.5,0.042
Davis Bertans,CHA,31,43,20,23,15.7,114.2,1.2,8.1,11.8,0.6,24.8,0.3,21.8,5.6,4,3.7,15.6,0.042
Xavier Moon,LAC,29,14,7,7,8.5,107.4,0.7,7.9,12.2,0.2,15,0.2,18.8,2.8,3.4,2.9,10.9,0.042
Bruno Fernando,ATL,25,45,20,25,15.2,113.9,3,20.1,31.1,0.6,23.6,0.6,49.1,5.9,4.1,4.6,15.4,0.042
Bilal Coulibaly,WAS,19,63,11,52,27.2,118.4,3.2,11.6,18.8,0.9,19.1,0.8,25.7,9.9,10,8.8,34.6,0.041
Malaki Branham,SAS,21,75,18,57,21.3,117,1.6,7.4,10.9,0.4,13,0.1,3.8,8.5,6.4,6.5,24.9,0.041
A.J. Lawson,DAL,23,42,27,15,7.4,105.3,0.9,10.5,15.9,0.2,21.3,0.1,9.4,2.5,2.3,2.9,8.2,0.041
Nick Richards,CHA,26,67,14,53,26.2,118.2,5.5,21.8,32.7,0.4,10.7,1.1,43,9.4,6.9,7.9,29.7,0.041
Dario Šari?,GSW,30,64,35,29,17.2,115.3,3.3,19.2,28,0.5,19.3,0.2,13,6.4,4.3,5,18.3,0.041
Mouhamadou Gueye,TOR,25,11,0,11,10.9,110.9,1,8,14.5,0.3,13,1.6,81.8,6.4,4.9,4.8,12.9,0.041
Vít Krej?í,ATL,24,22,9,13,24.6,117.7,1.9,8.4,11.8,0.6,15.3,0.3,13,9.4,5.9,7.7,26.8,0.04
AJ Green,MIL,24,56,35,21,11,110.5,1,8.9,13.3,0.2,9.1,0.1,8.2,3.4,3.2,1.9,9.8,0.04
Chris Boucher,TOR,31,50,16,34,14.1,113.6,2.9,20.2,30.9,0.3,12.5,0.5,34.3,4.3,4.8,4.1,14.1,0.04
TyTy Washington Jr.,MIL,22,11,5,6,5.1,96.7,0.4,8.5,9.8,0.3,18.8,0,0,3.1,0.4,0.8,3.3,0.04
Filip Petrusev,SAC,24,3,2,1,3.1,80,0.3,8.3,11.1,0,0,0,0,0.7,0.7,0,2.7,0.04
Sasha Vezenkov,SAC,28,42,22,20,12.2,112.6,1.6,12.9,20.1,0.5,31.7,0.2,14,4.7,3,3.6,12.3,0.04
Ben Sheppard,IND,22,57,32,25,14.3,114.2,1.3,9.2,14.2,0.6,21.9,0,2.1,4.2,4.5,4.4,17.1,0.04
Ochai Agbaji,TOR,24,78,31,47,21,117.2,1.8,8.3,12.7,0.6,20.9,0.6,22.2,8.6,7.3,6.8,23.5,0.04
Jeremiah Robinson-Earl,NOP,23,39,22,17,8.6,108.1,1.4,15.1,22.6,0.3,22.2,0.1,16,3.9,2.9,2.4,9.4,0.04
Collin Gillespie,DEN,25,24,15,9,9.4,109.2,0.8,8.5,12.4,0.5,34.2,0,0,2.8,2.5,1.9,9.8,0.039
Oscar Tshiebwe,IND,24,8,2,6,5.2,98.9,1,22.9,32,0.3,16.7,0.1,14.3,1.5,0.9,2.9,4.8,0.039
Gordon Hayward,OKC,34,51,25,26,24.4,118,2.8,11.6,17.1,0.8,20.5,0.3,9,9,7.7,7.5,26.8,0.039
Johnny Juzang,UTA,23,20,5,15,18.6,116.1,1.5,7.3,11.5,0.2,10,0.1,4.4,5.7,6.4,6.1,18.5,0.038
Miles Bridges,CHA,26,69,17,52,37.4,120.1,6.3,17.6,26.1,0.9,18.5,0.5,15.1,12.9,10.8,10.8,41.5,0.038
Keita Bates-Diop,BKN,28,53,29,24,12.5,113.1,1.5,11.8,18.1,0.5,27.5,0.4,22.4,4.7,3.1,3.9,12.5,0.038
Troy Brown Jr.,DET,24,59,30,29,14,114.2,2,14.3,20.6,0.4,19.8,0.1,3.8,5.9,3.9,4.1,16.2,0.038
Nate Hinton,HOU,25,15,8,7,5,100,1,16.9,21.7,0.2,30,0.1,16.7,1.2,0.8,1.5,4.5,0.038
Stanley Umude,DET,25,24,4,20,12.8,113.8,1.8,13,18.8,0.3,22.9,0.3,24.1,5.8,2.8,4.3,13.7,0.038
Ricky Council IV,PHI,22,32,15,17,9,109.8,1,11.5,16.8,0.3,15.7,0,2.9,2.6,2.4,2.8,9.7,0.038
Josh Green,DAL,23,57,32,25,26.4,118.8,2.5,9.6,14.4,0.8,21.6,0.2,6.5,9.2,8.3,8.7,28.9,0.037
Craig Porter Jr.,CLE,24,51,30,21,12.7,113.4,1.7,13.8,19.3,0.4,27.3,0.3,25.4,5.3,2.8,3.6,12,0.037
Keyontae Johnson,OKC,24,9,7,2,7.4,105.8,0.7,9.5,11.8,0.1,10,0,0,3.7,0.8,3.2,6.9,0.037
Keyonte George,UTA,20,75,27,48,27,118.9,2.6,9.5,13.9,0.5,14.8,0.1,2.9,11,8.1,11.3,29.9,0.037
Colby Jones,SAC,22,30,15,15,6.4,103.3,0.8,12,17.3,0.2,21.9,0.2,19.2,2.6,1.4,1.6,5.3,0.037
Jett Howard,ORL,20,18,9,9,3.7,91.9,0.3,8.2,10.9,0.1,25,0.1,33.3,1.6,0.9,1.3,3.9,0.037
RaiQuan Gray,SAS,24,3,2,1,13,113.6,1.7,11.1,16.7,0.3,25,0.3,50,2,3.7,3,10.7,0.037
Juan Toscano-Anderson,SAC,31,11,7,4,4.8,99.2,0.9,16.7,22.7,0.1,16.7,0.1,10,1.8,1.5,0.8,3.6,0.036
Jordan Poole,WAS,25,78,15,63,30.1,119.5,2.3,7.4,11.5,1.1,24.2,0.3,9.8,10.4,10.5,9.6,37.1,0.036
Jaden Hardy,DAL,21,73,44,29,13.6,114.5,1.5,11,17.1,0.3,15.8,0.1,4.4,5.1,4.5,4.6,14.9,0.036
Nick Smith Jr.,CHA,20,51,9,42,14.3,114.9,1.1,7.8,11.9,0.2,9.6,0.1,10,4.9,4.1,4.1,14.7,0.036
Dwight Powell,DAL,32,63,38,25,13.3,114.4,1.9,13.9,21.4,0.4,20.5,0.3,37.7,4.2,4.3,4.3,14,0.036
Kris Dunn,UTA,30,66,25,41,18.9,117.2,2.1,10.9,16.2,1,33.7,0.4,21.7,7.1,5.3,7.4,20,0.036
Chris Duarte,SAC,27,59,35,24,12.2,113.5,1.4,11.3,16.6,0.5,24.6,0.1,13.8,4.8,2.9,3,12.3,0.036
Jontay Porter,TOR,24,26,6,20,13.8,115,2.2,15.3,23.4,0.8,31.7,0.8,51.3,5.1,3.3,3.8,16.5,0.036
Duop Reath,POR,28,68,17,51,17.9,116.8,2.3,13.8,21.7,0.5,17.1,0.6,38.8,6.4,5.6,6.4,19.8,0.035
Yuta Watanabe,MEM,29,34,18,16,13.7,114.7,1.3,8.8,14.1,0.4,16.7,0.2,11.3,5.1,4.6,3.5,13.9,0.035
Cody Zeller,NOP,31,43,26,17,7.4,108,1.5,18.5,29.1,0.2,14.3,0.1,26.3,2.5,2.3,2.2,7.3,0.035
Jordan Clarkson,UTA,32,55,22,33,30.6,119.7,2.5,8.3,12.3,0.6,16.3,0.1,3.1,12.2,9.1,11.6,33,0.035
Furkan Korkmaz,PHI,26,35,22,13,8.6,110.2,0.7,8.7,14.2,0.4,21.2,0.1,10.7,2.7,2.7,2.6,9.5,0.035
Mason Plumlee,LAC,34,46,29,17,14.7,115.5,3.8,24.4,37.7,0.3,13.1,0.4,26.6,4.8,4.8,5.5,16.7,0.035
Kira Lewis Jr.,UTA,23,28,10,18,9.4,111.1,0.6,5.6,9.2,0.3,25.7,0.1,8.7,3.6,3,2.5,9.7,0.035
Jared Rhoden,DET,24,17,2,15,14.4,115,1.8,12.3,21.6,0.2,8.6,0.8,43.3,5.6,5.9,3.6,16,0.035
Kenneth Lofton Jr.,UTA,21,21,7,14,9.4,111.2,1.2,12.2,19.5,0.3,20.7,0.2,15.6,3.5,3.8,2.9,10.4,0.035
Onyeka Okongwu,ATL,23,55,23,32,25.5,119,4.2,16.9,25.2,0.5,11.6,1.1,50.4,8.7,7.5,8.3,28.8,0.035
Ibou Badji,POR,21,22,5,17,10.3,112.3,1.4,14,21.7,0.1,12,0.9,60.6,4.5,3.6,3.5,10.2,0.035
Orlando Robinson,MIA,23,36,20,16,8.4,109.6,1.6,18.9,27.6,0.2,17.9,0.2,44.4,3.3,2.6,2.1,7.6,0.035
Amir Coffey,LAC,27,70,46,24,20.9,118,1.7,8,12.5,0.6,18.6,0.2,9,7.7,6.1,7.4,23.7,0.034
Nate Williams,HOU,25,22,11,11,5.9,104.2,0.5,7.1,10.1,0.2,19,0,6.7,1.4,1.5,1.5,6.1,0.034
Kevin Knox II,DET,24,31,4,27,18.1,117.2,1.8,10.8,15.2,0.4,17.1,0.2,17.1,7,4.2,5.6,21,0.034
Terry Taylor,CHI,24,31,12,19,6.1,104.4,0.6,9.9,14.9,0.2,16.7,0.1,10.5,1.8,1.9,1.5,4.8,0.034
Garrison Mathews,ATL,27,66,29,37,15,115.8,1.1,7.9,12,0.3,13.3,0.1,11,5.6,4,5,15.5,0.034
MarJon Beauchamp,MIL,23,48,30,18,12.7,114.5,1.6,12.3,18.6,0.3,12.6,0.1,12.1,4.6,4.2,3.5,13.4,0.034
Kobi Simmons,TOR,26,4,0,4,16.9,116.5,1.5,9,16.7,1.5,40,0.5,22.2,8.8,7,9,17.5,0.034
Jaxson Hayes,LAL,24,70,41,29,12.5,114.4,2,14.9,22.7,0.5,27,0.4,41.4,4.8,4.2,4.7,13.7,0.034
Scoot Henderson,POR,20,62,18,44,28.5,119.6,2.3,8.3,13.2,0.8,17.6,0.2,8.8,11.6,8.6,10.4,32.2,0.034
Taylor Hendricks,UTA,20,40,13,27,21.4,118.2,3.5,15.9,23.2,0.7,23.9,0.8,33,9.4,6.5,8.8,23,0.034
Olivier Sarr,OKC,25,15,8,7,6.5,105.8,1.7,24.1,34.2,0,0,0.5,53.8,3.6,1.8,2.7,5.2,0.034
